Number of iterations,aspiration,lenght of tabu list,maximum run time,Nb customers,Nb vehicles,Capacity,DB,results,num graph
150,False,9,60,19,2,350,0.8161180699201307,525.7662034756067,9
150,False,9,75,19,2,350,0.8161180699201307,493.2809836284871,9
150,False,18,60,19,2,350,0.8161180699201307,531.188015366909,9
150,False,18,75,19,2,350,0.8161180699201307,506.8695327418729,9
100,False,4,60,19,2,400,1.1445591431841253,471.24691932652445,10
100,False,4,75,19,2,400,1.1445591431841253,471.24691932652445,10
100,False,9,60,19,2,400,1.1445591431841253,471.24691932652445,10
100,False,9,75,19,2,400,1.1445591431841253,471.24691932652445,10
100,False,18,60,19,2,400,1.1445591431841253,471.24691932652445,10
100,False,18,75,19,2,400,1.1445591431841253,471.24691932652445,10
125,False,4,60,19,2,400,1.1445591431841253,471.24691932652445,10
125,False,4,75,19,2,400,1.1445591431841253,471.24691932652445,10
125,False,9,60,19,2,400,1.1445591431841253,471.24691932652445,10
125,False,9,75,19,2,400,1.1445591431841253,471.24691932652445,10
125,False,18,60,19,2,400,1.1445591431841253,471.24691932652445,10
125,False,18,75,19,2,400,1.1445591431841253,471.24691932652445,10
150,False,4,60,19,2,400,1.1445591431841253,471.24691932652445,10
150,False,4,75,19,2,400,1.1445591431841253,471.24691932652445,10
150,False,9,60,19,2,400,1.1445591431841253,471.24691932652445,10
150,False,9,75,19,2,400,1.1445591431841253,471.24691932652445,10
150,False,18,60,19,2,400,1.1445591431841253,471.24691932652445,10
150,False,18,75,19,2,400,1.1445591431841253,471.24691932652445,10
100,False,44,60,178,62,50,0.6856375901004754,11022.920851126164,2
100,False,44,75,178,62,50,0.6856375901004754,11002.610845907391,2
100,False,89,60,178,62,50,0.6856375901004754,11022.920851126164,2
100,False,89,75,178,62,50,0.6856375901004754,11002.610845907391,2
100,False,177,60,178,62,50,0.6856375901004754,11022.920851126164,2
100,False,177,75,178,62,50,0.6856375901004754,11002.610845907391,2
125,False,44,60,178,62,50,0.6856375901004754,11022.920851126164,2
125,False,44,75,178,62,50,0.6856375901004754,11002.610845907391,2
125,False,89,60,178,62,50,0.6856375901004754,11022.920851126164,2
125,False,89,75,178,62,50,0.6856375901004754,11002.610845907391,2
125,False,177,60,178,62,50,0.6856375901004754,11022.920851126164,2
125,False,177,75,178,62,50,0.6856375901004754,11002.610845907391,2
150,False,44,60,178,62,50,0.6856375901004754,11030.812613347773,2
150,False,44,75,178,62,50,0.6856375901004754,11002.610845907391,2
150,False,89,60,178,62,50,0.6856375901004754,11022.920851126164,2
150,False,89,75,178,62,50,0.6856375901004754,11002.610845907391,2
150,False,177,60,178,62,50,0.6856375901004754,11022.920851126164,2
150,False,177,75,178,62,50,0.6856375901004754,11002.610845907391,2
100,False,44,60,178,31,100,0.7070996176270493,7544.1346571038,3
100,False,44,75,178,31,100,0.7070996176270493,7241.344808948737,3
100,False,89,60,178,31,100,0.7070996176270493,7544.1346571038,3
100,False,89,75,178,31,100,0.7070996176270493,7241.344808948737,3
100,False,177,60,178,31,100,0.7070996176270493,7544.1346571038,3
100,False,177,75,178,31,100,0.7070996176270493,7241.344808948737,3
125,False,44,60,178,31,100,0.7070996176270493,7544.1346571038,3
125,False,44,75,178,31,100,0.7070996176270493,7241.344808948737,3
125,False,89,60,178,31,100,0.7070996176270493,7544.1346571038,3
125,False,89,75,178,31,100,0.7070996176270493,7241.344808948737,3
125,False,177,60,178,31,100,0.7070996176270493,7544.1346571038,3
125,False,177,75,178,31,100,0.7070996176270493,7241.344808948737,3
150,False,44,60,178,31,100,0.7070996176270493,7544.1346571038,3
150,False,44,75,178,31,100,0.7070996176270493,7241.344808948737,3
150,False,89,60,178,31,100,0.7070996176270493,7544.1346571038,3
150,False,89,75,178,31,100,0.7070996176270493,7286.812331799724,3
150,False,177,60,178,31,100,0.7070996176270493,7544.1346571038,3
150,False,177,75,178,31,100,0.7070996176270493,7241.344808948737,3
100,False,44,60,178,53,80,0.7189431455384366,9731.790331535529,4
100,False,44,75,178,53,80,0.7189431455384366,9731.790331535529,4
100,False,89,60,178,53,80,0.7189431455384366,9731.790331535529,4
100,False,89,75,178,53,80,0.7189431455384366,9731.790331535529,4
100,False,177,60,178,53,80,0.7189431455384366,9731.790331535529,4
100,False,177,75,178,53,80,0.7189431455384366,9731.790331535529,4
125,False,44,60,178,53,80,0.7189431455384366,9731.790331535529,4
125,False,44,75,178,53,80,0.7189431455384366,9731.790331535529,4
125,False,89,60,178,53,80,0.7189431455384366,9731.790331535529,4
125,False,89,75,178,53,80,0.7189431455384366,9731.790331535529,4
125,False,177,60,178,53,80,0.7189431455384366,9731.790331535529,4
125,False,177,75,178,53,80,0.7189431455384366,9731.790331535529,4
150,False,44,60,178,53,80,0.7189431455384366,9731.790331535529,4
150,False,44,75,178,53,80,0.7189431455384366,9731.790331535529,4
